Date,Bitcoin_Price,Gold_Price,Bitcoin_Normalized,Gold_Normalized
2018-05-25,7576.78,123.21,3210.9081662923254,108.95825963919347
2018-06-01,7386.72,122.49,3130.3640293257617,108.3215422709586
2018-06-08,7687.37,123.01,3257.774293342374,108.78139370357269
2018-06-15,6299.89,121.34,2669.784294613722,107.30456314113903
2018-06-22,6719.79,120.34,2847.7306437258976,106.42023346303502
2018-06-29,6143.97,118.65,2603.708098487096,104.92571630703927
2018-07-06,6555.51,118.86,2778.1116243590286,105.1114255394411
2018-07-13,6403.18,117.61,2713.556808068822,104.0060134418111
2018-07-20,7473.9,116.56,3167.309403737763,103.07746727980191
2018-07-27,8171.65,115.83,3463.00377166589,102.43190661478599
2018-08-03,7535.88,114.92,3193.575454506929,101.62716660771136
2018-08-10,6277.59,114.69,2660.3339407551807,101.42377078174742
2018-08-17,6312.75,112.13,2675.234139933042,99.15988680580121
2018-08-24,6354.57,114.16,2692.956731787939,100.95507605235233
2018-08-31,6986.54,113.51,2960.77467474679,100.38026176158472
2018-09-07,6695.32,113.23,2837.360681442556,100.13264945171561
2018-09-14,6479.6,113.02,2745.942280798407,99.94694021931376
2018-09-21,6389.3,113.49,2707.6747044115777,100.36257516802263
2018-09-28,6686.08,112.76,2833.4449294401834,99.71701450300672
2018-10-05,6483.73,113.8,2747.6925032843155,100.63671736823487
2018-10-12,6207.79,115.23,2630.753909395262,101.90130880792361
2018-10-19,6595.51,116.01,2795.06293172861,102.59108595684472
2018-10-26,6466.29,116.77,2740.3017332711784,103.26317651220376
2018-11-02,6338.78,116.65,2686.2652032037972,103.15705695083128
2018-11-09,6444.97,114.48,2731.266686443192,101.2380615493456
2018-11-16,5756.77,115.62,2439.6194431495533,102.24619738238417
2018-11-23,4312.31,115.77,1827.4823070729333,102.37884683409975
2018-11-30,4256.55,115.54,1803.8521845997373,102.17545100813584
2018-12-07,3484.94,118.09,1476.8572276136797,104.43049168730103
2018-12-14,3487.73,117.06,1478.039581302708,103.5196321188539
2018-12-21,4135.19,118.72,1752.4219180404289,104.98761938450653
2018-12-28,3848.21,121.06,1630.8047633173708,107.05695083126989
2019-01-04,3822.87,121.44,1620.0661100987413,107.39299610894942
2019-01-11,4016.92,121.8,1702.3011399754207,107.71135479306686
2019-01-18,3658.41,121.02,1550.3708098487095,107.02157764414572
2019-01-25,3566.4,122.86,1511.3785650718312,108.64874425185708
2019-02-01,3444.81,124.5,1459.8508284951477,110.09904492394764
2019-02-08,3405.7,124.21,1443.27668771454,109.8425893172975
2019-02-15,3600.31,124.8,1525.7490358943933,110.36434382737885
2019-02-22,3987.18,125.5,1689.697842946137,110.98337460205165
2019-03-01,3850.08,121.88,1631.597236936899,107.78210116731518
2019-03-08,3876.85,122.84,1642.9418993939908,108.63105765829502
2019-03-15,3885.21,122.97,1646.4847226342333,108.74602051644852
2019-03-22,4056.4,123.97,1719.0320803491973,109.63035019455253
2019-03-29,4037.37,122.01,1710.967495868119,107.89706402546871
2019-04-05,4959.81,121.98,2101.8815951180236,107.87053413512557
2019-04-12,5035.02,121.83,2133.754290799678,107.73788468340997
2019-04-19,5220.37,120.37,2212.3024113234733,106.44676335337815
2019-04-26,5195.61,121.37,2201.8095520617026,107.33109303148214
2019-05-03,5326.67,120.65,2257.3505106581347,106.69437566324727
2019-05-10,6146.91,121.43,2604.95401957876,107.38415281216838
2019-05-17,8206.9,120.65,3477.942111285333,106.69437566324727
2019-05-24,7880.29,121.3,3339.5304487858625,107.26918995401486
2019-05-31,8662.98,123.33,3671.220917913294,109.06437920056598
2019-06-07,7803.23,126.59,3306.8737551383647,111.94729395118502
2019-06-14,8173.06,126.56,3463.601305250668,111.92076406084188
2019-06-21,9531.35,131.98,4039.2210874263683,116.71383091616553
2019-06-28,12932.55,133.2,5480.59075306183,117.79271312345242
2019-07-05,11160.49,132.14,4729.622409628342,116.85532366466218
2019-07-12,12099.9,133.53,5127.728101029792,118.08454191722674
2019-07-19,10638.56,134.47,4508.437513243209,118.9158118146445
2019-07-26,9772.17,133.64,4141.276433444929,118.18181818181816
2019-08-02,10407.17,135.89,4410.378437937026,120.17155995755215
2019-08-09,11960.82,141.26,5068.78840530576,124.92041032897063
2019-08-16,10302.17,142.78,4365.881256091876,126.26459143968872
2019-08-23,10129.4,144.17,4292.664321735814,127.49380969225325
2019-08-30,9484.55,143.75,4019.3880578039575,127.1223912274496
2019-09-06,10584.16,141.94,4485.383735220578,125.52175451008137
2019-09-13,10420.16,140.15,4415.883375005297,123.93880438627521
2019-09-20,10157.59,142.95,4304.610755604526,126.41492748496638
2019-09-27,8055.64,141.06,3413.8407424672628,124.74354439334985
2019-10-04,8382.03,141.9,3552.1591727762006,125.4863813229572
2019-10-11,8586.9,140.03,3638.9795312963515,123.83268482490273
2019-10-18,8002.51,140.46,3391.325168453617,124.21294658648745
2019-10-25,7431.88,141.86,3149.5020553460186,125.45100813583305
2019-11-01,9164.62,142.56,3883.807263635208,126.07003891050583
2019-11-08,9204.24,137.39,3900.597533584778,121.49805447470816
2019-11-15,8762.42,138.21,3713.3618680340724,122.22320481075346
2019-11-22,7617.07,137.74,3227.9823706403354,121.80756986204457
2019-11-29,7523.83,137.86,3188.4688731618426,121.91368942341707
2019-12-06,7395.97,137.62,3134.2840191549776,121.7014503006721
2019-12-13,7202.31,139.05,3052.2142645251515,122.96604174036081
2019-12-20,7150.86,139.52,3030.410645421028,123.38167668906969
2019-12-27,7192.72,142.33,3048.1501885832945,125.86664308454193
2020-01-03,6944.33,145.86,2942.8868076450394,128.98832684824905
2020-01-10,8042.65,146.91,3408.3358053989914,129.91687301025823
2020-01-17,8722.03,146.58,3696.2452854176386,129.6250442164839
2020-01-24,8658.94,147.98,3669.508835868967,130.8631057658295
2020-01-31,9502.37,149.33,4026.9398652371065,132.05695083126992
2020-02-07,9614.9,147.79,4074.62813069458,130.69508312698974
2020-02-14,10242.43,149.0,4340.564478535407,131.7651220374956
2020-02-21,9604.72,154.7,4070.314022969021,136.80580120268834
2020-02-28,8804.72,148.38,3731.2878755774036,131.2168376370711
2020-03-06,8758.9,157.55,3711.8701529855484,139.32614078528476
2020-03-13,4830.21,143.28,2046.9593592405815,126.70675627874071
2020-03-20,5410.23,140.11,2292.761791753189,123.90343119915106
2020-03-27,6763.75,152.25,2866.360130525067,134.63919349133357
2020-04-03,6652.87,152.65,2819.3711064965887,134.99292536257516
2020-04-10,7293.69,158.69,3090.939526210959,140.33427661832332
2020-04-17,6623.8,158.57,2807.0517438657457,140.2281570569508
2020-04-24,7477.6,162.64,3168.87739966945,143.8273788468341
2020-05-01,8777.63,159.78,3719.807602661355,141.29819596745668
2020-05-08,10002.48,160.42,4238.877823452133,141.8641669614432
2020-05-15,9305.93,163.93,3943.6919947450947,144.96816413158825
2020-05-22,9057.57,163.21,3838.441327287367,144.3314467633534
2020-05-29,9197.54,162.91,3897.7581896003735,144.06614785992218
2020-06-05,9794.56,158.01,4150.764927745052,139.73293243721258
2020-06-12,9892.13,162.62,4192.113404246303,143.80969225327203
2020-06-19,9380.03,164.03,3975.094291647243,145.05659709939866
